planet_name,planet_status,orbital_period,semi_major_axis,star_name,mag_v,star_teff,star_distance,luminosity
Kepler-1489 b,Confirmed,82.294751,23.20727704,Kepler-1489,10.81796395,5655,1283.05,66.2676521
Kepler-1489 c,Confirmed,0.680741,0.0146,Kepler-1489,10.81796395,5655,1283.05,66.2676521
Kepler-148 b,Confirmed,1.729366,0.028,Kepler-148,10.81796395,5272,809.42,26.37316695
Kepler-148 c,Confirmed,4.180043,0.05,Kepler-148,10.81796395,5272,809.42,26.37316695
Kepler-148 d,Confirmed,51.84688575,23.20727704,Kepler-148,10.81796395,5272,809.42,26.37316695
Kepler-149 Ab,Confirmed,29.19899219,0.1815,Kepler-149 A,10.81796395,5380.49,571.034,13.12618003
Kepler-149 Ac,Confirmed,55.3291399,0.2779,Kepler-149 A,10.81796395,5380.49,571.034,13.12618003
Kepler-149 Ad,Confirmed,160.0191598,0.5642,Kepler-149 A,10.81796395,5380.49,571.034,13.12618003
Kepler-150 b,Confirmed,3.428054,0.044,Kepler-150,10.81796395,5560,914.4,33.65788764
Kepler-150 c,Confirmed,7.381998,0.073,Kepler-150,10.81796395,5560,914.4,33.65788764
Kepler-150 d,Confirmed,12.56093,0.104,Kepler-150,10.81796395,5560,914.4,33.65788764
Kepler-150 e,Confirmed,30.826557,0.189,Kepler-150,10.81796395,5560,914.4,33.65788764
Kepler-150 f,Confirmed,637.2093,1.24,Kepler-150,10.81796395,5560,914.4,33.65788764
Kepler-1513 Ab,Confirmed,160.8842,0.5416,Kepler-1513 A,13.07,5491,349.247,0.616971877
Kepler-1513 Ac,Confirmed,841.4,1.711,Kepler-1513 A,13.07,5491,349.247,0.616971877
Kepler-1514 b,Confirmed,217.83184,0.753,Kepler-1514,10.81796395,6145,389.3,6.100750006
Kepler-1514 c,Confirmed,10.514181,0.0997,Kepler-1514,10.81796395,6145,389.3,6.100750006
Kepler-151 b,Confirmed,15.228958,0.116,Kepler-151,10.81796395,5460,662.19,17.65142036
Kepler-151 c,Confirmed,24.674612,0.16,Kepler-151,10.81796395,5460,662.19,17.65142036
Kepler-152 b,Confirmed,18.207973,0.124,Kepler-152,14.41,5050,441.09,0.286453692
